F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
1534.8,-17103.75,-449.63,24591.5,636.66,-14.64,1719.78,10.56,-101.96,-28.21,1,1424.98,-484.32,-6.84,16.62,23.01,13.41,-21485.49,-3.51,Very low,-286.82,292.16,10.18,-84.21,-37825.95,-98.58,Europe,-125.37,2631.44,10,-17.95,-357.81,-54.6,-3683.07,9.26,4161.72,2348.52
481.18,-13745.22,-90.25,21993,556.98,-7.95,1470.34,11.98,-119.46,-61.72,2,852.69,-516.69,-6.63,18.75,39.87,15.14,-24709.8,-629.71,Medium,-254.56,126.44,0.08,54.96,-31209.96,-104.79,Rest,-110.43,-441.9,16,-36.47,-446.62,-43.95,-2233.05,8.24,4199.6,-19.27
-117.94,-15288.63,168.7,15879.24,585.36,-15.4,1845.84,13.09,-232.5,-98.67,5,1300.97,-517.53,-31.44,3.93,67.95,13.64,-22916.34,166.66,Very high,-442.9,225.8,0.66,-130.68,-29388.54,-82.23,UK,-133.16,19561.44,6,16.23,-717.28,-64.98,-1374.6,14.16,3543.7,-95.92
440.4,-25965.06,-98.96,21021.3,669.99,-14.07,1219.9,13.73,55.62,-12.55,3,902.56,-646.92,-9.24,12.3,43.11,15.47,-14700.57,-555.51,Very high,-303.92,255.16,13.14,-111.72,-21773.85,-69.39,UK,-176.64,8336.52,8,-58.03,39.75,-60.57,-1825.32,13.9,3228.94,3046.82
1779.78,-14559.45,-160.12,22964.08,309.57,-19.94,1565.2,16.41,67.52,-5.03,4,937.9,-500.79,-9.69,10.41,22.41,11.84,-14839.95,-550.84,Very high,-330.6,237.04,0,-205.8,-35592.93,-124.75,UK,-158.67,-3281.64,14,88.18,-318.61,-54.39,-1896.75,4.22,3862.9,46.44
940.74,-23360.7,-479.92,17414.64,620.73,-11.34,2773.9,11.63,-4.6,-100,2,1190.92,-603.99,-28.08,8.31,52.56,16.85,-14833.92,61.68,High,-321.34,246.32,0.1,-287.94,-23792.97,-117.95,USA,-90.75,14926.68,6,53.07,520.51,-48.33,-1821.45,5.24,3469.76,295.07
578.74,-8511.03,-94.05,26188.46,564.51,-11.7,1648.04,-8.02,-128.46,-37.64,5,1040.48,-562.5,-11.58,7.56,45.33,12.59,-25466.58,-445.61,Low,-551.56,270.82,1.46,-28.62,-20943.99,-115.97,Rest,-166.8,5051.5,6,-10,-212.24,-65.22,-2138.94,-2.64,3778.6,131.39
241.98,-13155.12,-234.52,24594.48,562.44,-20.33,2748.04,12.47,8.32,-24.55,2,1176.57,-632.82,-13.14,9.18,42.81,13.6,-22940.13,-402.52,Very low,-513.2,125.72,11.26,-15.69,-43692.09,-114.91,USA,-224.23,10123.22,6,-34.97,-561.82,-60.69,-51.03,6.04,4149.8,1314.26
1087.66,648.78,-61.73,32130.22,572.73,-16.47,1277.26,15.74,-8.64,-69,2,1363.51,-518.19,-5.1,25.89,42,21.28,-16326.84,-572.12,Medium,-332.08,268.98,0.52,-85.59,-21165.39,-102.68,Europe,-93.9,-729.92,4,-78.6,-913.29,-59.19,-204.12,10.14,4300.32,1678.33
1527.16,-7488.81,-322.18,20058.54,623.94,-13.23,2138.9,10.65,8.98,-31.72,2,844.82,-318.66,-16.14,1.47,47.97,18.06,-37744.95,-656.76,Low,-370.66,243.68,0.06,-139.62,-25440.81,-95.79,Europe,-76.74,2848.64,12,-21.86,83.7,-75.75,-1756.26,3.02,2482.1,-1133.2
349.14,-19772.67,-44.98,28337.08,506.55,-11.76,1698.9,5.47,-45.22,-72.82,0,439.42,-554.07,-10.44,12,39.39,9.72,-9808.98,-59.07,Very high,-303.38,187.56,2.68,-305.85,-28070.82,-156.81,USA,-136.69,-635.96,4,-40.84,82.26,-52.14,-2292.93,-0.34,3797.74,2097.59
926.94,-21154.44,-607.18,30549.42,542.82,-29.97,1758.32,12.08,47.64,-53.24,4,1330.44,-415.14,-7.17,4.26,38.79,16.25,-28845.18,-217.44,Very low,-294.06,213.36,0.38,-251.94,-27421.32,-71.46,Rest,-120.02,8799.3,10,-42.59,-43.03,-60.99,-1401.48,4.74,3857.92,310.64
936.92,-22531.53,-333.3,19861.42,620.64,-14.16,892.52,7.77,-49.48,-27,3,624.45,-645.69,-22.98,23.43,46.86,12.77,-29741.91,23.37,Medium,-316.22,117.82,92.76,-248.82,-21478.02,-160.13,USA,-61.08,12070.56,4,-3.02,-434.1,-45.96,-1417.32,17.14,4341.38,1208.98
479.6,-11113.08,-342.16,28389.32,461.1,-11.31,1714.4,8.68,3.28,-53.84,5,1714.13,-507.96,-36.45,17.37,57.57,16.59,-746.19,-1162.17,Very low,-402.62,173.2,0.06,-166.86,-19910.79,-140.49,Rest,-150.27,5987.3,12,24.44,-400.43,-70.95,-1207.56,7.44,5729.76,-326.11
881.98,-22511.25,-732.26,28289.5,613.41,-18.3,1236.72,8.22,-15.62,-41.32,8,813.45,-477.27,-6.06,7.62,43.92,10.63,-23488.86,-52.55,Low,-342.4,143.1,4.88,-105.69,-25260.81,-93.44,USA,-97.1,9065.06,6,12.63,334.3,-69.21,-1069.59,0.46,4217.98,1506.14
-811.26,-979.29,-371.22,9953.78,632.34,-9.56,1306.7,13.86,17.22,-42.09,4,939.7,-464.61,-7.8,11.82,19.47,29.94,-34817.97,-823.67,High,-372.62,240.42,1553.62,-80.82,-41872.95,-136.58,UK,-93.16,635.42,2,-145.6,-183.35,-52.62,295.5,4.44,3596.98,3834.97
837.42,-16883.52,-948.91,24499.6,540.42,-22.49,1043.58,7.9,-86.3,-15.76,3,1133.32,-430.98,-9.06,9.99,55.86,16.02,-21427.47,-633.43,Very high,-288.18,203.48,0.12,-94.89,-35614.95,-106.41,Europe,36.7,18790.56,10,-1.4,-353.73,-46.77,-1649.61,9.94,2479.74,2751.64
1540.94,-14051.1,-386.63,25886.54,729.51,-13.96,2607.36,14.57,-40.74,-26.91,2,788.06,-568.53,-4.05,34.05,69.33,15.73,-23748.51,-385.85,High,-305.1,190.5,2992.18,-185.97,-33570.6,-147.98,UK,-123.44,6413.92,8,-16.19,472.89,-58.05,-2327.1,2.2,2684.02,3830.93
431.8,-3526.95,-554,32188.18,647.7,-11.46,1291.96,11.44,67.3,-64.42,6,927.25,-261.09,-32.91,15.48,42.33,20.91,-14949.6,-668.5,Very low,-216.48,88.68,0.16,-20.4,-29973.54,-119.56,USA,-147.78,9591,10,-25.35,-717.7,-62.79,-290.91,9.06,2894.6,-1447.25
134.16,-11168.31,-68.16,27090.38,513,-15.76,1572.58,11.78,-74.68,-71.49,5,856.11,-473.91,-10.32,20.28,45.27,12.48,-21364.08,-656.5,Very high,-351.92,258.86,157.32,-121.98,-36302.16,-115.51,USA,-112.01,6132.4,6,86.98,-405.26,-59.64,-1482.99,11.66,3852.16,2099.03
1672.26,-5667.93,-34.68,22017.26,708.9,-9.83,1669.76,11.01,58.2,-80.12,2,1288.21,-519.06,-10.35,17.49,55.35,12.17,-39683.25,-757.69,Very low,-326.32,149.88,4.72,-215.34,-33411.99,-80.78,Europe,-113.07,7379.66,6,-6.07,138.71,-62.01,-944.88,10.3,3676.72,773.19
339.32,-29187.36,-248.56,24364.16,627.27,-26.17,1869.64,10.3,78.56,6.37,4,772.79,-85.02,-3.9,1.86,43.35,14.99,-33248.64,-959.86,Very low,-303.06,246.32,126.02,-136.89,-28046.67,-78.57,Rest,-186.22,4001.26,8,-30.68,-329.39,-49.14,-1690.77,4.9,3879.46,733.05
711.96,-5329.26,288.06,26432.4,538.59,-18.97,1867.98,5.52,4.28,-50.11,3,1083.61,-524.04,-6.45,8.04,53.49,14.62,-26320.65,-409.21,Very low,-353.04,289,1.82,-119.34,-29531.52,-77.41,UK,-31.64,2574.56,2,-19.05,199.67,-18.81,-1545.39,10.8,4431.58,929
1347.78,-15713.49,-149.24,16093.42,408.27,-12.3,1151.56,10.73,-83.7,-63.08,4,1039.9,-514.11,-7.53,7.71,42.45,14.09,-28800.12,-743.14,Medium,-291.62,297.28,56.04,-14.79,-6985.5,-80.1,USA,-125.19,5392.98,16,-0.01,-466.48,-51.12,-1692.87,5.58,3855.8,16.5
1599.2,-14956.92,56.32,24081.56,560.91,-14.68,2377.08,8.13,-83.4,-63.29,2,1082.89,-523.11,-10.11,7.83,35.73,7.26,-24325.77,-294.09,Very high,-186.22,266.38,0.04,-74.07,-26681.91,-141,Rest,-141.06,6495.22,6,-42.27,668.05,-56.79,-1560.96,-0.2,3018.5,424.14
752.38,-16892.22,-493.59,24315.02,692.7,-17.03,1834.96,5.73,-19.18,0.24,3,700.3,-522.24,-21.21,2.79,30.3,14.25,-24415.41,-103.48,Very high,-419.28,232.72,0.06,-358.77,-8352.18,-126,Europe,-80.35,-643.96,6,16.99,-652.06,-73.44,-2255.19,3.72,2727.38,117.71
1859.98,-22108.56,-464.07,29296.98,579.9,-17.71,1167.52,8.37,-18.26,-35,3,1148.39,-562.83,-11.91,16.02,56.16,21.3,-19134.15,-611.76,Very high,-378.98,171.62,0.3,-69.33,-42193.77,-100.87,UK,-92.96,555.52,10,35.25,-449.57,-57.69,-1396.71,3.16,4381.36,3114.35
1169.9,-7003.56,-590.46,30921.52,598.74,-10.81,1066.32,11.53,-35.4,-16.49,4,1320.27,-291,-28.02,2.19,59.49,13.45,-19025.67,-25.72,Medium,-456.6,146.38,0.16,-155.34,-19841.91,-165.6,Europe,-221.93,10064.66,6,-30.95,-1231.2,-48.66,-1463.64,1.6,3352.08,-685.8
365.44,1439.61,-970.98,32968.48,447.12,-15.72,1706.62,11.45,145.88,-68.79,3,829.79,-438.15,-45.3,9.81,44.37,13.64,-17018.07,-338.88,Medium,-280.28,178.86,18.06,-164.55,-27105.24,-157.04,USA,-146.31,4756.56,10,4.71,-375.34,-51.54,-2775.15,11.02,2797.38,-88.9
720.1,-8709.69,-263.21,20399.26,618.57,-11.72,250.5,20.37,-11.82,-129.02,4,853.47,-485.67,-37.53,19.44,58.05,17.54,-22093.29,-822.37,Very low,-459.58,256.04,0.06,-157.47,-27049.32,-83.24,USA,-114.64,10267.52,14,-38.84,295.84,-59.58,-2017.23,1.82,4457.54,-2603.93
597.3,-9539.34,-22.88,30258.88,408.57,-16.24,726.44,9.26,-25.6,-64.79,5,1587.98,-487.5,-6.36,5.01,29.04,12.53,-22620.93,-479.09,High,-364.4,160.22,0.78,-103.38,-36967.92,-107.05,UK,-168.19,7047.84,4,85.87,-2257.96,-65.79,-1769.43,3.62,4220.54,3125.19
1432.08,-14284.53,-321.5,28086.14,584.76,-14.25,1670.14,3.66,-4.64,-71.48,2,1087.62,-369.06,-33.18,1.26,43.92,16.56,-26788.5,-605.03,Very high,-306.88,225.88,0.3,-150.6,-40717.62,-102.86,Rest,-97.13,19483.2,10,92.64,156.43,-58.56,-2851.2,-1.74,3347.82,88.85
-42.18,-7312.98,-721.78,31186.02,607.11,-2.44,1517.14,4.85,-105.9,-18.55,3,859.85,-694.32,-21.48,23.46,62.04,9.06,-23696.22,-672.88,Very low,-325.22,205.38,0.12,-212.49,-28817.13,-126.83,UK,-119.12,4045.6,8,-9.46,-613.27,-59.37,-620.97,10.98,3593.56,-33.27
255.52,-17946.51,-176.79,21475.42,631.62,-13.74,883.32,11.67,168.72,-37.74,5,1259.2,-465.69,-9.84,7.77,48.54,14.11,-15198.51,-441.37,High,-546.88,117.08,0.54,43.17,-12558.06,-147.16,Rest,-119.13,9190,4,-35.68,247.87,-54.21,-1612.86,3.14,4455.42,390.73
1671.76,-17357.91,-277.34,21881.34,513.84,-12.91,1856.1,5.34,-192.58,-88.81,4,1324.07,-665.46,-9.54,2.7,51,17.39,-16479,-526.76,High,-358.8,306.98,0.02,-155.37,-33594.87,-69.13,Europe,-162.11,8064.16,14,-70.63,-404.03,-56.67,-921.99,10.24,3918.5,-592.05
1092.52,-13111.62,-350.47,28023.74,691.17,-16.99,1669.72,6.98,149.32,-84.52,3,874.25,-432.06,-3.93,0.48,45.15,16.31,-13420.95,-996.21,Very low,-484.98,321.76,3.14,-247.8,-38251.86,-96.87,Europe,-166.84,10625,6,49.17,-445.44,-35.58,-2425.59,10.78,3716.44,2301.24
371.2,-30170.43,-206.8,31797.38,576.39,-7.82,1797.16,12.83,-49.76,-102.7,4,1086.54,-832.29,-13.17,38.13,47.1,15.54,-24041.1,-1011.36,Very high,-342.98,166.86,0.78,-28.8,-12489.87,-92.24,USA,-92.33,6144.2,10,-23.79,-110.61,-60.72,159.36,7.28,2941.52,170.39
29.98,-19936.62,-343.11,19102.88,543.12,-14.9,1756.42,11.93,-131.42,-65.56,5,1238.18,-450.84,-19.86,13.47,39.72,12.54,-38293.89,-611.37,High,-281.96,211.6,0.58,-262.83,-22085.79,-121.58,USA,-107.66,15293.48,16,-32.23,-519.09,-80.97,-323.31,3.4,3970.18,-660.57
872.86,-23016.39,-298.72,24573.28,565.38,-8.18,1177.68,7.32,-22.34,-59.38,5,995.03,-653.61,-11.73,1.77,44.01,13.78,-40320.24,-682.64,High,-316.9,305.68,51.32,-156.24,-29923.86,-110.59,USA,-155.7,4149.04,14,10.7,-121.04,-61.8,-2205.36,20.04,4255.36,951.55
410.2,-18671.61,-694.49,27907.48,651.66,-9.73,1425,-1.33,10.18,-76.88,5,1469.77,-496.89,-14.58,4.86,41.55,19.59,-24792.75,-344.07,Low,-411.34,289.76,2.38,-85.8,-17993.07,-106.58,USA,-47.96,8328.08,6,-20.22,-416.49,-53.61,-1587.39,8.1,3371.52,882.96
402.14,297.45,-526.38,19724.26,410.97,-14.11,1608.96,13.92,-42,-100.47,9,1496.62,-363.78,-8.67,19.5,39.75,14.28,-17533.08,-57.72,Very high,-311.56,288.24,29.68,-147.78,-28215.18,-143.27,Rest,-113.7,6778.94,10,27.24,-379.5,-112.02,-2306.91,-10,3424.22,902.12
252.72,5319.18,-293.53,26253.86,555.66,-13.55,862.54,9.07,-35.56,-80.53,3,549.82,-490.05,-37.89,15.03,26.58,15.28,-19187.43,-169.79,Very low,-337.48,159.86,0.1,-201.3,-25435.11,-188.78,UK,-188.36,7719.7,8,35.76,-166.52,-71.52,-2175.3,4.5,3893.5,-161.07
1317.72,-13634.55,70.31,26155.52,621.51,-14.73,1028.86,1.48,-147.04,-14.88,3,1632.7,-373.74,-26.97,11.04,19.77,14.29,-23699.61,-724.25,High,-318.32,261.56,8.78,-129.6,-11779.35,-115.69,UK,-123.09,-1266.76,10,29.72,-115.5,-22.65,-2879.1,9.66,3956.18,-137.83
826.8,-6102.9,-132.82,26442.4,587.31,-13.22,1654.08,14.94,63.66,-47.29,6,1200.78,-732.15,-18.21,6.99,40.32,14.31,-31496.94,-954,Very low,-569.92,333.12,0.02,-237.75,-25589.61,-100.07,USA,-87.36,14217.44,14,-12.71,-566.35,-59.4,-2213.82,1.38,3203.32,-2059.26
657.88,-16360.02,-209.62,19324.74,803.22,-9.16,1198.42,8.34,-3.18,-14.62,1,828.73,-318.63,-24.15,10.68,51.24,18.44,-22382.7,-280.02,High,-348.86,356.52,5.62,-205.41,-35223.96,-134.42,USA,-209.42,11799.4,8,-18.55,-540.41,-54.93,-1996.47,10.22,6105.94,942.23
1013.34,-21408.51,-835.58,10412.12,469.17,-15.29,1519.12,11.8,-32.06,-49.97,3,812.02,-533.25,-11.49,4.92,45.81,12.7,-26080.44,-523.92,Low,-338.72,216.74,3.92,-304.47,-35719.53,-135.32,Europe,-110.22,1946.52,12,-32.66,174.73,-44.64,-2619.03,7.62,2547.74,2084.18
935.42,-23636.4,-41.67,28856.86,548.43,-12.78,1568.94,9.73,-42.8,-64.1,5,1182.09,-543.69,-35.28,3.69,44.82,13.87,-19858.35,-248.3,Medium,-137.32,244.76,158.02,-141.36,-33631.44,-87.85,Rest,-107.37,7928.94,4,-52.22,-685.79,-75.75,-231.21,-1.54,2485.26,148.28
-60.42,-20496.66,-163.46,27161.54,40.53,-12.14,1830.24,7.66,-58.74,-55.27,6,1317.13,-443.55,-15.21,3.36,41.61,16.48,-20290.68,31.54,Medium,-317.92,145.36,0.16,-112.44,-18290.82,-166.97,Europe,-118.87,4918.32,8,-18.91,12.54,-53.31,-2632.68,4.2,3459.22,-962.78
1427.52,-33779.22,-442.43,18760.86,552.42,-12.17,1184.88,8.33,-14.02,-39.94,5,844.51,-528.33,-26.73,5.25,37.77,16.33,-25429.17,-711.37,Very high,-300.38,189.04,0.64,-170.16,-28481.49,-133.35,Europe,-109.24,5767.66,2,19.65,-1204.02,-76.05,-1143.96,15.28,4636.42,1383.18
1656.88,-9558.51,36.81,20733.92,563.4,-12.8,2100.32,14.28,-33.3,-94.68,3,1231.24,-396.81,-11.49,17.1,54.18,12.27,-25033.98,-366.81,Very low,-321.62,338.06,22.04,-243.33,-40737.6,-58.39,USA,-85.49,13601.02,10,8.02,-341.16,-62.85,-1608.81,5.26,4009.46,528.59
1658.16,-18542.04,-413.59,26609.78,574.8,-6.43,1572.64,14.98,-8.46,-42.88,7,1726.04,-525.24,-27.81,10.35,48.06,11.88,-37015.53,-457.2,Low,-438.16,212.3,141.58,-137.31,-38241.87,-134.33,UK,-108.14,-2389.06,12,-86.31,-559.77,-68.16,-1955.4,2.66,4005.54,1.09
1142.76,-10209.24,-135.35,30322.76,499.74,-11.37,1526.08,10.75,-211.04,-81.58,3,1006.29,-513.99,-11.07,27.06,1.08,14.64,-19830.66,-360.74,High,-453.12,149.16,13.74,-112.08,-15595.83,-122.02,UK,-128.8,-571.2,12,-5.44,-588.57,-49.14,-2064.72,-1,4258.6,633.37
679.7,-5862.39,-726.06,31868.88,659.19,-17.46,2602.4,10.32,4,-24.01,5,1312.79,-431.19,-12.63,2.76,44.13,15.33,-30434.64,-618.47,Medium,-430.96,167.18,1.48,150.15,-32985,-208.39,Europe,-98.75,1690.34,10,-31.71,-127.07,-41.55,-801.21,9.48,3581.24,1754.33
1774.6,-15825.54,-270.02,26147.96,529.68,-14.34,1614.32,8.99,0.56,-45.7,0,1249.63,-519.63,-8.4,5.52,42.84,14.4,-8022.3,-386.44,Low,-114.42,179.2,1.78,-45.24,-23528.7,-129.24,UK,-116.38,13373.22,6,-24.39,-592.33,-39.66,-2362.2,-1.06,3466.56,2681.78
1649.56,-21266.28,-195.62,30271.24,585.09,-13.9,2100.22,15.15,-181.84,-21.59,2,1308.64,-381.93,-21.27,12.36,53.31,13.32,-28456.59,-408.8,Medium,-337.3,290.96,65.98,-189.66,-7580.52,-88.93,Rest,-82.28,1441.64,4,1.51,-2183.2,-48,-770.25,5.82,3642.02,377.06
436.3,-3621.78,-157.22,27141.46,559.53,-13.6,1290.14,8.85,-81.12,-38.09,6,1103.82,-578.7,-7.11,26.52,47.79,-4.76,-8468.7,-319.66,Very high,-238.68,386.8,25.4,-108.15,-36261.24,-91.6,Rest,-125.82,11588.76,10,-24.99,-627.53,-60.63,-388.26,0.54,3486.1,919.64
745.4,-17982.87,-273.97,17458.28,494.19,-14.99,1585.42,9.55,42.68,-31.33,5,753.49,-572.34,-8.25,14.67,11.67,10.57,-17898.45,-625.86,Very low,-364.88,157.06,0.84,64.71,-37635.42,-142.17,Europe,-157.71,-2398.94,6,8.97,-65.41,-71.46,-2032.74,-0.68,5269.2,815.94
997.92,-2597.34,-575.38,26795.92,752.22,-15.32,2311,-2.01,6.86,-76.21,5,1506.38,-601.17,-11.88,20.19,38.64,18.24,-11242.5,-349.99,Very high,-225.7,272.06,1.12,-217.2,-30903.15,-121.76,UK,-79.95,-2749.08,8,-8.71,-951.61,-60.87,-1517.04,15.72,2395.32,3252.92
1211.36,-32286.42,-143.85,17621.7,499.35,-9.73,706.32,9.26,-91.98,-123.67,4,1192.76,-497.31,-7.65,34.83,44.07,17.17,-20630.04,-627.37,Very low,-444.52,214,475.24,-82.02,-47972.79,-102.72,UK,-151.33,2947.74,12,43.72,-739.45,-46.32,-1962.39,11.24,2856.38,2453.28
2085.24,-11621.52,-88.35,34459.48,837.66,-18.96,1389.9,11.84,-12.46,-118.87,2,649.91,-473.07,-7.29,17.07,13.89,15.76,-18626.55,-271.29,Very low,-224.92,256.36,0.14,-198.21,-39812.91,-112.91,Rest,-74.73,13622.8,8,36.33,-345.58,-43.56,-3281.13,7.22,4660.38,230.96
240.88,-9513.96,-47.06,25192.3,543.27,-9.89,2323.04,3.83,-53.64,-42.8,7,1515.24,-498.66,-20.67,11.19,40.77,18.67,-23544.72,-836.85,Very high,-322.96,269,0,-204.57,-33729.9,-140.46,USA,-85.36,7853.92,4,126.7,-406.96,-45.24,-2188.44,-17.04,2860.7,-267.58
749.7,11030.79,-594.49,16572.32,522.99,-14.14,1373.76,11.92,33.94,-62.75,7,890.4,-645.69,-9.99,5.79,34.59,13.03,-21392.76,-712.1,Medium,-409.42,274.4,6.02,-257.07,-26790.93,-215.71,Rest,-131.87,20199.6,10,-32.74,-445.16,-30.93,-2228.85,8.34,3366.08,479.17
127.42,-8192.82,-524.64,26959.16,639.72,-7.09,1906.34,3.84,54.32,-19.4,6,1929.3,-416.61,-9.36,14.1,46.95,12.53,-30765.24,-754.75,High,-384.6,158.28,0.06,-256.98,-32103.33,-97.97,UK,-112.56,-72.14,6,-7.15,-535.46,-52.65,-3059.43,10.76,3245.44,2005.25
1592.36,-21434.55,-615.43,14493.44,495.87,-12.78,597.86,7.3,-16.68,-52.25,4,1440.55,-354.84,-10.89,14.07,36.27,8.81,-31150.65,-986.04,Medium,-320.52,223.08,14.24,-112.14,-16146.15,-108.3,USA,-135.4,5111.94,14,-3.99,-438.13,-48.09,-1403.19,0.92,4272.92,588.17
678.76,-10960.08,-750.08,21342.4,590.49,-1.32,2063.18,10.63,0.22,-52.46,1,856.56,-495.78,-26.13,1.11,58.41,13.88,-16462.86,-1035.55,Very low,-250.56,169.18,0.1,-325.11,-38885.25,-118.59,UK,-125.72,8610.7,8,-13.17,15.51,-59.04,-1336.14,12.06,2100.18,88.25
1711.56,-15461.76,-53.65,33289,623.64,-15.29,1688.92,10.35,109.36,-50.51,3,984.95,-408.99,-5.1,7.41,60.03,17.16,-19472.43,65.38,Low,-372.34,285.98,0.16,-268.23,-25250.34,-57.53,Europe,-110.18,13688.58,8,-0.14,-300.95,-48.48,-438,-9.56,3767.74,249.37
-422.76,-21488.04,-222.48,28160.8,510.54,-22.79,2311.34,10.35,171.74,-67.87,2,1194.43,-361.38,-5.67,9.12,41.88,3.3,-25806.48,9.13,Very low,-354.54,317.42,0.54,-199.38,-42694.95,-145.74,Rest,-126.15,-5009.74,10,-17.56,-435.41,-41.4,-679.29,1.5,3836.18,457.92
149.26,-23368.59,505.13,31414.96,389.91,-15.84,2061.34,13.91,-64.38,-36.71,5,1274.32,-507.06,-3.84,8.61,60.18,13.84,-31946.7,-592.47,High,24.66,201.92,5.1,-123.12,-22625.31,-141.05,UK,-106.51,52.92,10,-31.27,-123.66,-80.34,-1060.83,21.74,3980.84,175.1
821.78,-28031.67,-281.47,24115.78,447.03,-10.47,1560.22,3.81,-159.1,-93.96,8,869.07,-510.54,-11.16,2.79,46.08,13.76,-20959.17,-1122.7,Very high,-536.2,379.72,1.56,54.99,-27289.29,-122.24,USA,-130.9,-4857.7,10,-44.51,-135.02,-45.72,-1816.74,-2.58,3622.52,615.44
814.46,-13749.81,367.62,24020.34,388.71,-12.39,2045.36,12.2,1.72,-37.09,4,1267.08,-516.15,-14.52,2.79,31.92,5.82,-10881.18,-556.18,Very low,-327.16,262.98,1.02,-43.65,-36462.09,-132.27,Europe,-75.94,-2635.86,14,-112.71,-207.66,-41.61,273.36,4.9,3042.28,-1458.6
272.58,-13249.5,-283.3,25694.4,705.24,-19.77,1724.5,9.73,161.78,-96.19,6,820.31,-266.88,-4.17,10.77,28.68,12.71,-17700.69,-577.4,Low,-319.88,371.44,4.1,-282.78,-26005.05,-90.17,UK,-108.75,1433.26,12,-2.68,375.22,-56.55,-1373.55,2.06,1937.52,489.46
