F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
0.2291,1,-4694.08,-10.965,-5.0886,1,7.514,-15.003,-20.38,3.3098,-2123.7,-3.912,7.269,-10157.46,23586.54,-1.4,103916.3,4.98,1502.85,-3107.08,,True
1.618,0,-5293.04,-15.63,-5.289,1,4.9466,-14.2366,-8.596,3.0128,-2898.09,-5.63,5.916,-11902.29,21535.74,-1.4,103894.88,3.1654,1468.01,5134.52,-43.71,False
0.15936,1,-5282.04,-17.178,-6.4035,1,6.836,-20.88,-26.22,3.1847,-2836.5696,-4.614,6.4876,-17942.76,22602.24,-1.4,103754.96,4.202,1443.14,-1891.48,,False
0.14157,1,-4875.54,-14.91,-5.8749,1,5.0162,-13.84197,-44.68,3.174,-2836.5491,-2.3888,5.79025,-17024.76,25103.34,-1.4,103850.26,4.6,1239.92,-1833.48,,False
0.4107,0,-4309.24,-10.8669,-4.464,0,4.7176,-11.453,-16.372,3.2666,-3013.2,-2.2914,6.5722,-10279.26,24449.64,-0.4,103853.02,2.8932,1626.06,-4557.68,-46.74,True
1.441,0,-4732.652,-15.051,-12.867,0,5.5238,-10.584,-9.154,3.6054,-2781.86,-1.8162,6.3884,-11377.11,22638.84,-0.4,103801.36,2.7322,1395.92,-3774.28,,False
0.1602,0,-4781.74,-16.272,-5.0382,1,7.718,-13.6683,-0.758,3.7614,-2785.08,-2.3284,5.80985,-9023.76,23719.74,-0.4,103884.48,5.83,1602.55,-4452.18,-46.41,True
1.344,1,-10179.44,-11.0838,-5.9595,0,5.2778,-21.733,-2.072,3.1157,-2059.7,-6.04,6.0625,-12015.96,24317.94,-0.4,103839.35,2.22078,1482.65,-1101.48,-46.11,True
0.3479,1,-4790.04,-21.921,-6.5739,0,8.442,-7.357,-1.5644,7.555,-2797.49,-8.774,6.3888,-10254.36,23745.24,-0.4,103796.56,3.9108,1547.59,-4392.76,-50.31,True
2.809,0,-4997.24,-11.9763,-5.706,1,5.1442,-17.412,-7.44,6.119,-3042.2,-1.66534,7.626,-11662.62,24586.14,-1.4,96416.66,3.6432,1524.806,-4437.78,-45.36,False
1.0264,1,-5172.24,-12.8592,-9.066,1,4.7086,-11.575,-26.82,4,-2804.76,-2.0686,6.1684,-12060.96,23198.097,-1.4,103818.18,4.102,1186.52,-4013.88,-42.33,False
1.247,0,-5318.64,-11.7375,-6.0129,1,5.5958,-13.2076,-6.658,3.1908,-2411.5,-5.652,6.11,-11993.46,24401.94,-1.4,103938.44,3.5168,1481.4,-2147.48,,True
0.9552,0,-4359.64,-11.0235,-4.6449,0,3.96936,-11.344,-0.26496,3.2361,-2805.54,-4.83,5.764834,-11298.96,40586.64,-1.4,103817.02,3.5108,1511.24,-3045.28,,True
0.9651,1,-4575.3,-12.297,-6.5589,0,4.382,-17.531,-2.868,5.518,-2865.04,-1.8416,5.79415,-11440.53,25509.24,-0.4,103866.84,4.252,1158.62,-4173.02,-50.52,True
0.4588,0,-5524.24,-10.7337,-5.6346,0,6.91,-14.1788,-23.08,3.04049,-1871,-4.21,5.80028,-10950.06,23031.09,-1.4,103811.64,2.7346,1560.16,-5647.88,-43.41,False
0.5988,0,-4799.78,-11.6064,-3.999717,0,4.757,-12.467,-17.558,3.0189,-2969.5,-4.214,5.7602727,-11487.33,22478.94,-0.4,103826.84,3.4992,1498.02,14.52,,False
2.01,0,-5589.24,-13.2483,-5.2833,0,4.549,-10.665,-81.3,4.523,-2832.585,-2.695,7.477,-11829.63,22296.84,-1.4,105659.06,3.6316,1480.96,-4443.02,,False
0.2065,1,-4889.58,-18.894,-6.6114,1,4.7442,-13.3589,-39.6,3.4295,-2865.46,-3.812,5.8852,-13612.56,25126.14,-0.4,103882.04,7.746,1528.722,-5088.48,-42.66,False
0.9175,0,-4814.6,-11.7858,-7.728,0,7.372,-12.278,-33.26,3.4299,-2858.92,-1.855,7.847,-11585.94,22886.76,-0.4,103866.85,4.7,1144.02,-3450.88,-48.51,False
1.531,1,-5142.64,-23.433,-5.0406,0,4.00624,-18.085,-6.97,3.1194,-2795.13,-6.712,6.5712,-11744.61,23333.94,-1.4,103700.6,5.442,1533.88,-5197.68,,True
2.759,0,-6789.44,-12.975,-6.039,1,4.5608,-13.3534,-2.788,3.8733,-2679.8,-1.7552,5.9752,-11836.08,21512.34,-0.4,103814.04,2.6394,238.92,-3576.48,,False
0.6996,1,-3901.44,-12.1632,-4.6527,1,7.894,-9.888,-1.585,3.9024,-2548.5,-5.098,5.760025,-11022.36,23631.24,-1.4,103810.76,2.532,1513.83,-3777.88,,True
1.128,1,-5353.44,-13.3671,-8.61,1,4.8774,-18.423,-6.77,3.0994,-2615.3,-8.286,6.0403,-11249.16,25322.34,-0.4,103894.22,2.8364,1558.01,-6973.48,-42.06,True
1.33,0,-6272.44,-14.13,-4.566,1,4.2138,-16.358,-39.4,5.723,-2844.827,-2.409,6.0894,-11934.36,20584.74,-1.4,103816,2.8706,1442.1,-4374.38,-43.17,False
0.15472,1,-5095.44,-22.419,-8.85,0,5.2548,-19.332,-22.76,5.552,-2834.722,-2.8986,7.598,-15698.76,24445.14,-1.4,103828.86,4.808,1484.63,-4401.4,,False
1.155,0,-4930.8,-13.788,-4.14597,0,5.3702,-14.3706,-10.466,3.3302,-2841.467,-3.5084,5.7603598,-11842.65,24065.04,-0.4,103861.37,3.6588,1445.5,-3300.08,,True
0.399,0,-5350.64,-10.8729,-5.4159,1,11.844,-22.533,-9.086,3.2739,-3452.8,-3.2688,5.762448,-13072.86,23430.96,-1.4,103882.06,3.4774,1480.99,-4943.28,-44.13,False
0.509,0,-4916.24,-11.6556,-4.28217,0,7.336,-5.148,-68,3.8934,-2982.5,-3.634,5.8975,-11731.05,23256.69,-1.4,103882.44,6.264,1554.78,-4742.08,-40.77,False
0.6171,1,-4993.84,-17.349,-10.338,0,6.392,-12.073,-6.32,4.83,-2883.25,-2.2404,5.8702,-12010.56,23937.24,-0.4,103859.62,4.0292,1487.47,-4469.86,-45.84,True
1.167,0,-4830.3,-11.1633,-6.3177,1,5.1756,-2.64,-81.14,3.781,-2786.77,-1.67636,5.81667,-11907.75,24411.84,-1.4,103879.06,5.108,-113.08,-3661.28,,False
0.3173,1,-4444.64,-15.873,-4.5675,1,6.106,-8.495,-11.936,5.728,-2758.35,-3.628,5.77676,-10176.66,23947.74,-0.4,103894.48,2.927,1521.88,-4227.26,-44.73,True
0.8365,1,-6437.24,-12.1812,-8.751,1,8.076,-18.757,-23.22,5.538,-2866.31,-4.848,7.891,-12108.96,23020.26,-1.4,103813.16,2.7348,1509.12,-4378.06,,False
1.646,0,-4080.64,-12.6249,-6.0909,1,5.771,-11.554,-22.74,3.577,-2632.9,-9.516,6.6761,-11376.84,23970.24,-1.4,104476.66,2.6112,1524.915,-3546.48,-51.66,True
0.5829,1,-4710.9,-17.718,-4.19085,1,4.2458,-16.601,-4.946,3.989,-2783.79,-3.196,6.811,-10934.16,28277.64,-1.4,103689.06,3.1546,1562.52,-4321.68,,True
1.061,0,-4994.84,-16.191,-4.09506,0,7.592,-8.179,-2.612,3.1629,-2926.63,-2.9478,5.9346,-11842.74,22639.44,-0.4,103837.54,5.07,1481.95,-4650.48,-43.59,False
0.5067,1,-5578.24,-12.2991,-8.292,1,5.301,-14.7596,-40.18,3.02143,-2883.81,-1.8294,5.766906,-12138.36,22988.73,-1.4,104104.86,3.077,1344.62,-5171.48,,False
0.4379,0,-6313.24,-11.205,-6.2238,1,4.4396,-13.90497,-29.14,3.4308,-2269,-3.4432,6.025,-12485.76,23602.74,-1.4,103624.46,3.056,1539.766,-4953.48,,True
0.9213,1,-4755.9,-10.8816,-5.3871,0,4.2276,-12.648,-18.604,3.4288,-2235.5,-2.6538,6.2357,-11484,26519.64,-1.4,104191.86,7.604,1460.2,-3574.08,,True
0.7418,0,-4820.58,-14.169,-4.05396,1,5.094,-14.0993,-37.02,3.3853,-2883.87,-2.5988,5.9398,-11964.66,22403.34,-0.4,103783.58,7.728,1354.72,-3271.88,-42.09,False
0.3784,1,-4918.14,-19.635,-4.9899,1,8.844,-22.895,-1.2202,3.1396,-2769.62,-1.846,5.76148,-10758.96,23069.25,-0.4,103815.94,3.3428,1349.72,-1783.48,-42.09,True
0.5386,0,-5079.84,-11.7327,-5.2728,1,6.846,-10.764,-2.754,3.972,-2440.4,-1.8188,5.8629,-12621.36,23900.04,-0.4,103827.84,6.462,1351.12,-4493,-44.7,True
2.452,0,-4783.5,-14.916,-6.0684,1,5.6858,-18.377,-5.868,3.2823,-2774.97,-1.9608,6.3328,-11490.33,24842.94,-1.4,103860.65,2.8418,1754.12,-5007.88,-49.14,True
0.5412,0,-4761.174,-13.737,-4.8117,1,6.924,-10.053,-66.98,3.03808,-2802.16,-5.276,6.0221,-11435.97,22861.44,-0.4,103784.08,3.235,1490.79,2886.52,-42.54,False
0.2326,0,-5546.84,-14.961,-9.345,0,8.188,-14.0923,-37.76,3.03261,-2902.59,-3.55,7.037,-12255.06,23874.54,-1.4,103888.24,2.6838,1569.08,-11393.48,,True
2.11,0,-4437.44,-12.3093,-9.228,0,4.5302,-0.11,-33.26,3.5795,-2920.19,-2.319,7.578,-11309.76,26465.64,-1.4,103853.77,4.246,1705.32,-4728.48,,True
1.84,1,-4114.24,-13.674,-5.5203,1,4.3828,-20.133,-19.272,3.4563,-2915.73,-1.7516,6.0555,-11518.41,22299.24,-1.4,103842.87,2.1755,1295.82,-3973.88,,False
0.3703,0,-6113.84,-11.3004,-4.28553,0,7.644,-17.64,-0.5212,3.7633,-2501.1,-5.32,6.899,-12333.96,23691.24,-1.4,103831.85,2.8046,1536.001,-4685.08,,True
0.9422,0,-4488.24,-10.62627,-8.664,1,5.0766,-14.3003,-5.08,4.999,-2726.8,-6.738,6.2174,-10823.76,23321.28,-0.4,103866.14,4.648,1546.06,-4287.2,-42.93,False
1.234,1,-4687.22,-12.7161,-4.02426,0,6.44,-17.773,-25.2,3.2865,-2896.91,-2.956,5.9517,-11359.5,23674.44,-0.4,103874.4,8.242,1524.211,-3964.88,,True
1.022,1,-11839.44,-15.723,-6.8115,1,5.4362,-11.649,-12.726,5.326,-2861.43,-2.634,6.4621,-12256.86,23112.15,-0.4,103854.2,2.2978,1528.894,-4586.48,,True
0.6866,1,-5596.24,-14.847,-4.17036,0,5.17,-8.351,-26.02,3.5091,-2749.39,-2.1468,6.6306,-11948.16,23223.45,-1.4,103814.3,3.5864,1559.07,-4747.08,,True
0.8228,0,-6415.04,-14.037,-4.4208,0,8.706,-19.509,-5.558,3.983,-2871.7,-6.096,6.2422,-11984.46,23529.54,-0.4,103833.95,2.1561,1491.03,-3954.08,,True
1.614,0,-4113.44,-10.7529,-6.453,1,5.796,-13.3465,-30.64,4.593,-3260,-2.1768,5.769905,-11187.96,24215.04,-1.4,104159.66,3.5112,1658.22,-4342.502,,False
0.2052,1,-4500.24,-15.102,-6.2961,0,4.5124,-20.05,-38.06,4.039,-2893.12,-10.024,5.83874,-8204.76,22947.93,-1.4,103848.85,4.49,1532.7858,-4180.04,-41.16,False
1.122,1,-4325.44,-12.2772,-9.552,0,7.83,-14.449,-30.7,3.3662,-2792.73,-3.902,5.9558,-11369.7,23768.64,-1.4,103851.01,3.4164,1494.09,-3253.28,-43.95,False
0.2808,0,-5330.44,-14.217,-4.9935,0,4.3078,-24.83,-6.468,3.3637,-2707.9,-8.16,8.628,-12595.56,22295.64,-0.4,103855.82,4.356,1530.007,-4544.98,-43.02,False
0.1944,1,-5552.24,-11.6427,-5.8203,0,4.094,-16.557,-8.48,5.144,-2895.7,-2.8534,7.896,-12348.36,23896.14,-0.4,103834.64,2.5964,1475.07,-4296.16,-41.25,False
0.5192,0,-5143.24,-12.0861,-4.25307,0,4.2058,-11.179,-28.1,3.04423,-2856.01,-7.956,6.3877,-12340.56,28241.64,-1.4,103762.24,4.446,1528.359,-7245.48,-44.22,True
1.541,0,-7733.44,-11.1141,-7.767,1,8.04,-13.2904,-13.48,3.9348,-2906.59,-5.51,6.3439,-11982.06,22968.72,-0.4,103862.64,2.5694,1515.53,-4578.88,,False
0.4537,0,-4923.66,-10.7964,-4.22604,1,4.2872,-14.9236,-2.0004,7.514,-2456.7,-3.904,6.251,-12582.96,26897.64,-0.4,103694.4,7.892,1503.37,-4369.214,-46.86,True
1.33,1,-3020.84,-11.1078,-5.6919,1,6.046,-14.4907,-50.62,3.217,-2851.76,-2.1524,6.2478,-11210.16,23667.84,-0.4,103810.56,2.3642,1590.62,-3865.68,-38.91,False
3.544,1,-5776.24,-22.902,-4.4817,1,5.7474,-8.638,-23.64,3.1444,-2819.43,-2.0172,7.918,-11760.63,23018.58,-0.4,103873.3,3.7458,1494.97,-6044.08,-46.95,True
0.8253,0,-4999.64,-11.7126,-4.92,1,8.336,-18.179,-7.948,3.5305,-2383,-3.3032,6.0562,-11414.01,23339.88,-1.4,103817.94,3.117,1496.06,-3644.68,,True
0.5784,1,-4514.84,-13.1847,-5.4981,0,6.07,-18.742,-7.296,4.188,-2803.56,-2.217,5.760369,-11314.86,22795.74,-0.4,104845.26,2.3986,1336.92,-3871.68,-41.01,False
0.4346,0,-4988.84,-14.616,-4.3107,0,4.53,-14.7311,-11.006,3.01816,-2898.75,-1.953,5.84647,-13216.56,27560.64,-1.4,103885.72,4.426,1039.42,-1447.48,-42.12,True
0.1794,1,-4744.638,-11.316,-10.593,1,10.976,-24.01,-1.6446,4.215,-2582.3,-6.158,5.9713,-8957.76,23027.04,-1.4,103848.87,4.02,1521.84,-4035.48,-41.91,True
0.8043,0,-4705.24,-13.656,-6.0996,1,6.276,-14.00556,-6.432,3.2457,-2767.72,-5.374,6.854,-11073.36,22614.84,-1.4,103856.46,3.8514,1525.637,-3081.88,-46.08,True
0.2661,1,-4690.88,-13.809,-7.89,0,6.074,-19.72,-1.98,4.29,-2711.9,-2.9654,5.80764,-9431.76,22812.84,-0.4,103683.26,3.0616,1527.557,-4071.68,,False
0.2059,0,-4741.61,-14.823,-5.3391,0,4.374,-13.4142,-12.032,3.3977,-2745.57,-2.6288,6.762,-8846.76,22077.84,-1.4,103630.66,6.542,1519.21,-3538.68,-40.35,False
2.784,0,-5089.24,-14.007,-5.1957,1,4.2626,-14.1386,-16.71,3.3221,-2827.566,-2.0002,5.77744,-11594.493,28136.64,-1.4,103822.22,2.9184,1599.65,-4853.28,,False
0.12681,0,-5388.84,-20.034,-5.1696,0,4.2798,-6.984,-1.9624,5.402,-2849.34,-4.168,6.0112,-8528.76,21223.74,-0.4,102976.06,2.3824,1536.744,-4353.832,,False
2.601,0,-5941.24,-11.0286,-8.388,0,5.2492,-16.22,-8.602,3.8648,-2002.9,-2.5974,5.766551,-11832.6,22699.74,-1.4,103857.85,3.3944,1391.12,-4083.28,,False
0.7269,1,-5433.44,-20.325,-6.0873,0,6.75,-12.025,-15.354,4.338,-2861.94,-4.948,5.77187,-11413.89,22851.54,-0.4,103881.76,2.5102,1537.277,-4429.68,-41.94,False
0.7987,1,-4961.04,-18.324,-4.8699,1,7.464,-16.986,-19.186,3.1341,-2790.34,-2.6534,6.2628,-12185.46,23900.94,-0.4,104652.66,4.118,1307.02,-709.48,,True
0.2609,0,-5201.84,-10.67997,-5.6034,0,4.6724,-11.658,-5.58,3.6291,-952.3,-4.196,5.760045,-13791.36,25184.34,-0.4,103849.5,4.51,1478.38,-3948.88,,True
0.5878,0,-5048.04,-14.415,-4.1874,1,12.05,-12.041,-10.606,4.472,-2733.6,-3.2534,5.762925,-12237.96,23417.91,-0.4,103799.7,6.308,1533.465,-4530.5,,True
0.244,0,-4664.34,-23.037,-7.347,1,5.163,-16.161,-20.94,4.141,-2823.37,-4.964,6.678,-9350.76,22248.24,-0.4,103833.26,3.5516,1526.747,-4062.28,,False
0.2613,1,-5821.44,-10.8915,-8.931,1,7.004,-19.064,-20.84,3.202,-3025.2,-4.524,5.9132,-13236.06,22945.77,-1.4,103848.69,3.0618,1511.97,-4756.28,-43.95,False
1.208,0,-4633.26,-11.1288,-4.3233,0,6.19,-20.728,-19.79,6.1,-2794.07,-1.8302,5.82914,-11145.96,23882.34,-0.4,103834.74,6.412,1806.92,-4360.402,-44.34,True
4.17,1,-5321.84,-12.1005,-11.76,1,6.946,-24.26,-24.8,3.2563,-2953.3,-3.772,5.7601661,-11733.09,23983.74,-1.4,103894.72,2.6922,1437.85,-3243.48,-39.03,False
3.354,1,-5367.64,-14.133,-7.383,1,7.876,-11.413,-33.94,3.3684,-2749.46,-6.186,5.8131,-11716.71,23052.3,-0.4,103896.6,4.408,1528.012,-4766.88,,True
3.752,0,-5229.64,-11.1753,-4.5873,0,8.568,-15.839,-27.3,3.0922,-2793.83,-2.0566,5.82953,-11643.684,23305.68,-1.4,103954.12,2.3604,1237.22,-1115.48,-43.35,True
0.2483,1,-4675.12,-11.4804,-6.8004,0,4.6064,-5.258,-40,5.469,-2491.7,-2.7724,5.9305,-10482.06,25193.64,-0.4,101804.66,4.94,1454.02,-4143.08,-49.23,True
2.514,0,-5557.24,-11.1795,-8.415,1,5.5192,-14.4508,-31.84,4.093,-2202.6,-2.034,6.1835,-11478.75,23060.55,-1.4,103785.3,2.7164,1742.62,-4476.26,-47.13,True
2.112,0,-4838.12,-11.5893,-4.7106,1,4.8894,-8.914,-73.64,3.01901,-2531.3,-1.871,5.8955,-11505.3,24935.04,-0.4,103878.56,2.6038,1526.251,-2179.48,-42.33,True
0.5616,0,-6127.64,-13.722,-5.7483,0,5.3214,-20.397,-8.496,3.3021,-2860.31,-3.526,6.1076,-12395.46,22787.04,-1.4,103895.84,2.7346,1464.97,-3919.68,-40.83,False
0.3044,0,-3705.04,-11.6388,-4.3497,0,4.7916,-8.912,-7.132,6.93,-2729.6,-2.2494,6.1017,-9940.26,22647.54,-0.4,103870.55,2.5392,1395.02,-4189.76,-44.37,False
0.7991,1,-5016.24,-19.29,-9.087,1,7.606,-12.815,-3.242,4.131,-2846.811,-2.3348,5.79614,-11987.46,23070.63,-1.4,103919.8,5.698,1469.65,-4440.6,,False
1.0115,1,-4844.82,-15.435,-4.8531,0,5.1366,-12.724,-3.334,3.8814,-2749.49,-8.714,7.007,-11391.12,23402.04,-0.4,103921.16,3.586,1524.814,-3950.28,-48.18,False
3.083,0,-13353.44,-11.2146,-6.2247,0,4.9638,-11.516,-15.878,3.5528,-2207.1,-2.0104,6.937,-11636.532,23564.94,-1.4,103863.31,2.1688,1621.23,-4661.28,-44.97,False
1.664,1,-4961.24,-13.458,-4.4835,1,6.102,-14.4964,-33.08,3.4176,-2723.1,-4.768,6.0025,-11598.669,23856.24,-1.4,103776.2,5.318,1547.16,-4792.28,,True
0.2364,0,-5409.24,-10.61331,-6.4938,0,4.954,-14.942,-8.714,3.4693,-526.3,-7.676,6.007,-13385.16,22059.54,-0.4,103846.85,4.312,1521.56,-4204.92,-42.24,False
0.6854,1,-5016.44,-11.1288,-8.079,0,5.8108,-13.8369,-23.06,4.261,-2838.918,-2.4334,5.83584,-12285.36,24213.54,-0.4,103209.46,3.5846,1289.42,-4002.88,,True
